Name,Attack,AttackSpeed,Range,Defense,Health,MoveSpeed,UpHealthScale,UpDefenseScale,UpAttackScale,Skills,Type,Class,Attribute,Desc
Chicken,8,1,1,1,100,3.8,28,1,3,,Melee,Normal,None,Chicken_Desc
SpiderNormal,10,1,1,2,110,3.7,30,1,4,Spider_Split,Melee,Normal,None,SpiderNormal_Desc
SpiderToxin,15,1,1,1,80,6,16,1,6,,Melee,Normal,Cloaking,SpiderToxin_Desc
SpiderKing,30,1,2,5,2000,2.5,150,3,12,SpiderKing_Summon,Melee,Elite,Regeneration,SpiderKing_Desc
Bat,20,0.7,5,3,100,3,10,1,9,DamageZoneSkill,Ranged,Normal,Fly,Bat_Desc
Golem,25,0.5,1,5,650,2.5,80,2,11,Explosived,Melee,Normal,Regeneration,Golem_Desc
Scorpion,15,1,1,1,80,5,20,1,7,Scorpion_Shield,Melee,Normal,Berserk|UnJudged,Scorpion_Desc
FireGolem,42,0.5,1,5,500,2.8,80,2,20,,Melee,Normal,Flame,FireGolem_Desc
FireBird,30,0.6,4,2,350,2,45,2,14,,Ranged,Normal,Fly|Flame,FireBird_Desc
Spook,10,1,1,1,80,6.5,18,1,7,,Melee,Normal,UnJudged,Spook_Desc
Wraith,33,0.8,1,6,2500,2.3,200,3,16,PhantomBlitz,Melee,Elite,Regeneration|Berserk,Wraith_Desc
IceGolem,38,0.5,1,5,630,2.5,80,2,16,SpiritofSnow,Melee,Normal,,IceGolem_Desc
DeathAttacker,80,2,1,8,4400,1.5,500,5,35,Death_RushAttackSkill,Melee,Boss,Regeneration,DeathAttacker_Desc
GrimReaper,55,0.7,1,1,90,5.5,17,1,24,,Melee,Normal,Berserk,GrimReaper_Desc
Worm,20,1.5,1,2,100,4.5,25,1,9,,Melee,Normal,Burrow|Cloaking,Worm_Desc
Spore,30,1,1,1,120,5.5,18,1,14,,Melee,Normal,Swim,Spore_Desc
ScorpionKing,50,0.8,2,7,2600,2.5,230,3,24,StompStun,Melee,Elite,None,ScorpionKing_Desc
WormQueen,60,1,1,10,3200,1.8,450,5,28,,Melee,Elite,Regeneration|Burrow|Cloaking,WormQueen_Desc
