HeroName,MaxHp,AttackPower,Defence,MaxSp,AttackSpeed,SpRecover,BlockCount,CoolDownPer,CriticalPer,CriticalDmg
BraveCitizen,1500,45,10,100,1,5,3,0,0.1,2
Volunteer,400,50,0,100,1.5,5,1,0,0.1,2
Archer,800,80,0,100,1.5,5,1,0,0.1,2
Warrior,1500,60,10,100,1,5,3,0,0.1,2
Mage,600,250,0,100,0.5,5,1,0,0.1,2
Lancer,1000,100,0,100,1,5,2,0,0.1,2
Fighter,1000,100,5,100,2,5,2,0,0.1,2
Berserker,1800,160,0,100,1,5,2,0,0.1,2
Mercenary,3000,250,5,100,0.8,5,3,0,0.1,2
Monk,2200,180,5,100,2,5,2,0,0.1,2
FireMage,1200,300,0,100,0.5,5,1,0,0.1,2
Hunter,1500,200,0,100,1.5,5,1,0,0.1,2
Knight,3000,200,15,100,1,5,3,0,0.1,2
ThunderMage,1200,200,0,100,1.3,5,1,0,0.1,2
Ninja,1300,250,0,100,2.5,5,1,0,0.1,2
Samurai,1800,300,5,100,1.5,5,2,0,0.1,2
Vagabond,2000,180,5,100,1.5,5,2,0,0.1,2
ArchMage,2300,470,10,100,1,5,1,0,0.1,2
Destoryer,2600,550,15,100,1,5,1,0,0.1,2
Seeker,2300,650,10,100,1,5,1,0,0.1,2
Babarian,4200,600,25,100,1,5,3,0,0.1,2
BowMaster,2400,850,10,100,1.5,5,1,0,0.1,2
DragonSlayer,4500,750,25,100,1.5,5,3,0,0.1,2
Dragoon,2500,1200,15,100,1.5,5,1,0,0.1,2
MadScientist,2800,670,10,100,0.7,5,1,0,0.1,2
Smasher,5500,700,30,100,1,5,4,0,0.1,2
Usurper,5000,850,30,100,1,4,4,0,0.1,2
Penetrator,4200,850,20,100,2,3,4,0,0.1,2
Inquisitor,5500,800,40,100,1.5,5,4,0,0.1,2
