Region,ID,MonsterName,Prefab,Count,SpawnTime,Delay
1,1,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,5,0,0.5
1,2,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,10,0,0.5
1,3,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,8,0,0.5
1,3,SpiderToxin,Resources/EnemyUnitPrefabs/SpiderToxin,4,2,0.5
1,4,SpiderToxin,Resources/EnemyUnitPrefabs/SpiderToxin,10,0,0.5
1,5,SpiderKing,Resources/EnemyUnitPrefabs/SpiderKing,1,1,0
1,6,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,18,0,0.5
1,7,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,15,0,0.5
1,7,SpiderToxin,Resources/EnemyUnitPrefabs/SpiderToxin,10,0,0.5
1,8,SpiderToxin,Resources/EnemyUnitPrefabs/SpiderToxin,20,0,0.5
1,9,Golem,Resources/EnemyUnitPrefabs/Golem,6,0,0.5
1,9,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,15,0,0.5
1,10,DeathAttacker,Resources/EnemyUnitPrefabs/DeathAttacker,1,0,0.5
2,1,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,6,0,0.5
2,2,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,15,0,0.5
2,3,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,10,0,0.5
2,3,SpiderToxin,Resources/EnemyUnitPrefabs/SpiderToxin,6,2,0.5
2,4,SpiderToxin,Resources/EnemyUnitPrefabs/SpiderToxin,8,0,0.5
2,4,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,5,0,0.5
2,5,Golem,Resources/EnemyUnitPrefabs/Golem,6,0,0.5
2,6,Bat,Resources/EnemyUnitPrefabs/Bat,10,0,0.5
2,7,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,5,0,1
2,7,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,15,0,0.3
2,8,SpiderToxin,Resources/EnemyUnitPrefabs/SpiderToxin,10,0,0.5
2,8,Bat,Resources/EnemyUnitPrefabs/Bat,5,0,0.9
2,9,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,15,0,0.5
2,9,Golem,Resources/EnemyUnitPrefabs/Golem,6,0,0.8
2,10,Golem,Resources/EnemyUnitPrefabs/Golem,10,0,0.8
2,10,SpiderKing,Resources/EnemyUnitPrefabs/SpiderKing,1,0,0.5
3,1,Golem,Resources/EnemyUnitPrefabs/Golem,5,0,0.5
1,1001,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,30,0,0.7
1,1001,SpiderToxin,Resources/EnemyUnitPrefabs/SpiderToxin,15,5,0.4
1,1002,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,55,0,0.3
1,1003,SpiderToxin,Resources/EnemyUnitPrefabs/SpiderToxin,10,0,0.4
1,1004,Golem,Resources/EnemyUnitPrefabs/Golem,20,5,0.5
1,1005,DeathAttacker,Resources/EnemyUnitPrefabs/DeathAttacker,1,0,0.5
1,1005,SpiderKing,Resources/EnemyUnitPrefabs/SpiderKing,2,1,0.3
2,1001,Golem,Resources/EnemyUnitPrefabs/Golem,20,0,0.5
2,1001,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,30,5,0.3
2,1002,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,20,0,0.5
2,1003,Golem,Resources/EnemyUnitPrefabs/Golem,15,0,0.5
2,1003,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,30,0,0.5
2,1004,SpiderKing,Resources/EnemyUnitPrefabs/SpiderKing,3,0,0
2,1005,Golem,Resources/EnemyUnitPrefabs/Golem,20,0,0.5
2,1005,Bat,Resources/EnemyUnitPrefabs/Bat,10,0,0.5
